Output_Dimension,Red_67_3_0_0_45,Red_83_3_0_0_45,Red_100_3_0_0_45,Red_116_3_0_0_45,Red_133_3_0_0_45,Green_67_3_0_0_45,Green_83_3_0_0_45,Green_100_3_0_0_45,Green_116_3_0_0_45,Green_133_3_0_0_45,Blue_67_3_0_0_45,Blue_83_3_0_0_45,Blue_100_3_0_0_45,Blue_116_3_0_0_45,Blue_133_3_0_0_45
35,62.02603997829801,73.59219379045285,81.96097666296164,86.64536024701579,86.01345698259755,67.16011811706976,75.08118751102718,81.2603993364532,81.42895468338655,78.58180912937762,71.0935521463952,81.30280831993649,86.61607731282396,87.85962202416334,85.52845189503327
36,61.71094178266828,73.26463639426576,81.78347807947769,86.67019752298036,86.2516826084647,67.332895216816,75.19767998161149,81.33834113569453,81.59282748665424,78.88873802238899,71.14370046920112,81.31259525804847,86.58064833725808,87.89618675183107,85.66623160501234
37,61.4161378545957,72.94512661297183,81.59084803299102,86.64740784580513,86.41649646347393,67.51530024937996,75.32144288815066,81.40307251548828,81.71603711966952,79.12383870747304,71.17614079423612,81.3038515893672,86.51385313364497,87.88050363780745,85.73323124400379
38,61.12133392652313,72.6256168316779,81.39821798650435,86.62461816862991,86.58131031848316,67.69770528194393,75.44520579468983,81.46780389528202,81.83924675268479,79.35893939255709,71.2085811192711,81.29510792068591,86.44705793003186,87.86482052378383,85.80023088299524
39,60.82652999845055,72.30610705038397,81.20558794001768,86.60182849145468,86.74612417349239,67.8801103145079,75.568968701229,81.53253527507576,81.96245638570005,79.59404007764114,71.2410214443061,81.28636425200463,86.38026272641875,87.84913740976022,85.86723052198668
40,60.53172607037798,71.98659726909003,81.01295789353101,86.57903881427946,86.91093802850162,68.06251534707187,75.69273160776817,81.5972666548695,82.08566601871532,79.82914076272519,71.2734617693411,81.27762058332334,86.31346752280562,87.8334542957366,85.93423016097813
41,60.22800973331184,71.64447628595116,80.79552302113981,86.53638321033978,87.07197469652068,68.20238159591234,75.77190650929151,81.6169216562436,82.17645804173763,80.04748423679786,71.26288953977583,81.21775022252554,86.19832821972554,87.78107989881104,85.9832459766882
42,59.92429339624571,71.30235530281229,80.57808814874862,86.49372760640009,87.23301136453975,68.34224784475282,75.85108141081484,81.63657665761771,82.26725006475995,80.26582771087054,71.25231731021056,81.15787986172774,86.08318891664545,87.72870550188549,86.03226179239827
43,59.620577059179574,70.96023431967342,80.36065327635744,86.4510720024604,87.3940480325588,68.4821140935933,75.93025631233817,81.65623165899183,82.35804208778227,80.48417118494321,71.24174508064529,81.09800950092993,85.96804961356537,87.67633110495993,86.08127760810834
44,59.31686072211344,70.61811333653455,80.14321840396624,86.40841639852073,87.55508470057786,68.62198034243377,76.00943121386152,81.67588666036593,82.44883411080457,80.70251465901588,71.23117285108002,81.03813914013215,85.85291031048529,87.62395670803437,86.1302934238184
45,59.03797841600587,70.2904553451613,79.93103557379463,86.36636436569803,87.72446752404257,68.74631923753888,76.07245409799347,81.67817114459366,82.52480294639467,80.91412474562756,71.21883209324186,80.96971169849836,85.7318375139245,87.56892140618447,86.18785658534644
46,58.7590961098983,69.96279735378806,79.71885274362302,86.32431233287535,87.89385034750725,68.870658132644,76.13547698212541,81.68045562882139,82.60077178198478,81.12573483223923,71.2064913354037,80.90128425686459,85.61076471736374,87.51388610433457,86.24541974687448
47,58.48021380379074,69.63513936241482,79.50666991345142,86.28226030005266,88.06323317097196,68.99499702774912,76.19849986625736,81.68274011304912,82.67674061757486,81.3373449188509,71.19415057756554,80.8328568152308,85.48969192080295,87.45885080248466,86.3029829084025
