Output_Dimension,Red_67_3_0_0_45,Red_83_3_0_0_45,Red_100_3_0_0_45,Red_116_3_0_0_45,Red_133_3_0_0_45,Green_67_3_0_0_45,Green_83_3_0_0_45,Green_100_3_0_0_45,Green_116_3_0_0_45,Green_133_3_0_0_45,Blue_67_3_0_0_45,Blue_83_3_0_0_45,Blue_100_3_0_0_45,Blue_116_3_0_0_45,Blue_133_3_0_0_45
58,55.814353755273935,66.29366906359438,77.03250372718875,85.15441303282626,88.84906978526365,70.18858162663089,76.75969931732911,81.42801687665103,82.92194300635342,82.7016752437196,70.90655867533974,79.9375629033743,83.9510999059406,86.4120151101806,86.29013268462151
59,55.57966031844355,65.97984453282173,76.7838162019605,85.01947757061083,88.89131002843465,70.28306484398423,76.79383515800187,81.38265656020593,82.92610310405222,82.81481724560342,70.86799989148176,79.83357344092843,83.78525251651867,86.29415811457109,86.27667402221452
60,55.34496688161317,65.66602000204908,76.53512867673227,84.88454210839541,88.93355027160565,70.37754806133758,76.82797099867464,81.33729624376083,82.930263201751,82.92795924748725,70.82944110762377,79.72958397848255,83.61940512709675,86.17630111896156,86.26321535980755
61,55.10976397883995,65.34387527587884,76.26830156793439,84.71744214665544,88.93739235871593,70.47509456435992,76.87234970080313,81.30102843414258,82.93985543950268,83.04463506091084,70.77665134992952,79.61569238021151,83.44840142313241,86.05111852229507,86.24433429236569
62,54.87456107606674,65.02173054970861,76.00147445913652,84.55034218491548,88.94123444582621,70.57264106738226,76.91672840293162,81.26476062452434,82.94944767725435,83.16131087433443,70.7238615922353,79.50180078194046,83.27739771916806,85.92593592562858,86.22545322492385
63,54.63935817329352,64.69958582353837,75.73464735033865,84.38324222317551,88.94507653293648,70.67018757040462,76.96110710506012,81.22849281490609,82.95903991500602,83.27798668775803,70.67107183454107,79.38790918366941,83.10639401520373,85.80075332896209,86.20657215748201
64,54.404155270520306,64.37744109736812,75.46782024154076,84.21614226143555,88.94891862004675,70.76773407342696,77.00548580718862,81.19222500528785,82.96863215275769,83.39466250118163,70.61828207684682,79.27401758539837,82.93539031123939,85.6755707322956,86.18769109004016
65,54.18523499663019,64.0622877366363,75.19188602338902,84.02068905972428,88.92180010486047,70.8741508003648,77.06273744814014,81.15845747279668,82.97581010604141,83.51152165744452,70.55079893196059,79.14469922857812,82.74304258027517,85.52181423524942,86.14577859247571
66,53.96631472274008,63.747134375904494,74.91595180523727,83.82523585801299,88.89468158967416,70.98056752730264,77.11998908909166,81.12468994030553,82.98298805932514,83.62838081370742,70.48331578707435,79.01538087175787,82.55069484931097,85.36805773820326,86.10386609491124
67,53.74739444884996,63.431981015172674,74.64001758708551,83.62978265630171,88.86756307448786,71.08698425424048,77.17724073004318,81.09092240781436,82.99016601260887,83.74523996997031,70.41583264218812,78.88606251493762,82.35834711834676,85.21430124115709,86.06195359734677
68,53.52847417495985,63.11682765444086,74.36408336893376,83.43432945459043,88.84044455930156,71.19340098117831,77.23449237099472,81.0571548753232,82.99734396589258,83.8620991262332,70.34834949730188,78.75674415811737,82.16599938738256,85.06054474411093,86.0200410997823
69,53.316285666027724,62.78490572517665,74.0583324131023,83.20320390186288,88.77790031355539,71.30801459328553,77.28949684528756,81.01426725345415,83.00911035766781,83.99914059734607,70.2716586478756,78.60203200680265,81.93867860419621,84.8794555614821,85.96459368216973
70,53.1040971570956,62.45298379591244,73.75258145727085,82.97207834913532,88.71535606780922,71.42262820539277,77.34450131958042,80.97137963158508,83.02087674944303,84.13618206845894,70.19496779844933,78.44731985548792,81.71135782100987,84.6983663788533,85.90914626455715
71,52.891908648163486,62.121061866648226,73.4468305014394,82.74095279640777,88.65281182206306,71.53724181749999,77.39950579387326,80.92849200971602,83.03264314121826,84.2732235395718,70.11827694902304,78.2926077041732,81.48403703782354,84.51727719622447,85.85369884694458
72,52.679720139231364,61.78913993738402,73.14107954560794,82.5098272436802,88.59026757631689,71.65185542960721,77.45451026816612,80.88560438784697,83.04440953299347,84.41026501068465,70.04158609959677,78.13789555285845,81.2567162546372,84.33618801359566,85.798251429332
73,52.50812097666505,61.48637438707744,72.85116746408835,82.28109488288156,88.51812784781305,71.79582174353538,77.53725143128928,80.87063679764752,83.08966925425241,84.58572573039729,69.98630904479947,77.99968263457768,81.04451233192655,84.17232819035198,85.7637813530407
74,52.33652181409874,61.18360883677086,72.56125538256876,82.05236252208292,88.4459881193092,71.93978805746357,77.61999259441244,80.85566920744806,83.13492897551134,84.7611864501099,69.93103199000217,77.86146971629691,80.83230840921591,84.0084683671083,85.72931127674939
75,52.16492265153242,60.88084328646428,72.27134330104917,81.82363016128427,88.37384839080535,72.08375437139175,77.7027337575356,80.84070161724861,83.18018869677027,84.93664716982254,69.87575493520488,77.72325679801612,80.62010448650526,83.84460854386464,85.69484120045807
76,51.993323488966105,60.578077736157695,71.9814312195296,81.59489780048563,88.30170866230151,72.22772068531992,77.78547492065876,80.82573402704917,83.2254484180292,85.11210788953515,69.82047788040758,77.58504387973535,80.40790056379461,83.68074872062097,85.66037112416677
77,51.863875331905646,60.31451023589214,71.7188810286467,81.37846725745308,88.24003083315876,72.39800399795108,77.90053634359472,80.83797094469516,83.29165465305236,85.31138695332669,69.78141287561276,77.46568444634538,80.21423373788924,83.52814420070668,85.64108443097426
78,51.73442717484519,60.05094273562659,71.45633083776382,81.16203671442054,88.178353004016,72.56828731058225,78.01559776653068,80.85020786234115,83.3578608880755,85.51066601711821,69.74234787081795,77.34632501295539,80.02056691198389,83.37553968079239,85.62179773778176
79,51.60497901778473,59.78737523536105,71.19378064688092,80.94560617138798,88.11667517487325,72.73857062321342,78.13065918946664,80.86244477998713,83.42406712309867,85.70994508090975,69.70328286602313,77.22696557956542,79.82690008607852,83.22293516087811,85.60251104458925
80,51.47553086072427,59.523807735095495,70.93123045599805,80.72917562835543,88.0549973457305,72.90885393584458,78.2457206124026,80.87468169763312,83.49027335812181,85.90922414470128,69.66421786122832,77.10760614617543,79.63323326017316,83.07033064096382,85.58322435139674
81,51.36589833283518,59.26627594599981,70.65797661280666,80.48730586074433,87.96672669237431,73.08162292307581,78.35837910839163,80.87171413964127,83.53698359706512,86.09273896931906,69.61744596717091,76.96992216387352,79.41025267251891,82.88132688868806,85.53347840933549
82,51.25626580494609,59.008744156904115,70.3847227696153,80.24543609313322,87.8784560390181,73.25439191030704,78.47103760438065,80.86874658164943,83.58369383600842,86.27625379393685,69.57067407311351,76.83223818157161,79.18727208486466,82.69232313641233,85.48373246727422
83,51.146633277057,58.75121236780843,70.11146892642392,80.00356632552212,87.79018538566191,73.42716089753826,78.58369610036969,80.86577902365758,83.63040407495173,86.45976861855462,69.52390217905611,76.69455419926969,78.96429149721041,82.50331938413657,85.43398652521296
84,51.03700074916791,58.493680578712734,69.83821508323256,79.76169655791101,87.70191473230572,73.59992988476948,78.69635459635873,80.86281146566573,83.67711431389503,86.6432834431724,69.47713028499871,76.55687021696778,78.74131090955616,82.31431563186084,85.3842405831517
85,50.942658689575794,58.22972692273255,69.53564261078328,79.46868225065036,87.538635765137,73.786339254744,78.81119049137732,80.8514004020481,83.70947838128889,86.7993795895484,69.43503931210394,76.40943499161995,78.49528428925227,82.09609060050735,85.29706349681929
86,50.848316629983685,57.96577326675237,69.23307013833401,79.17566794338971,87.37535679796828,73.9727486247185,78.9260263863959,80.83998933843046,83.74184244868276,86.95547573592438,69.39294833920918,76.2619997662721,78.24925766894837,81.87786556915387,85.20988641048687
87,50.75397457039157,57.7018196107722,68.93049766588476,78.88265363612905,87.21207783079954,74.159157994693,79.04086228141449,80.82857827481281,83.77420651607663,87.11157188230037,69.35085736631443,76.11456454092425,78.00323104864448,81.65964053780039,85.12270932415447
88,50.65963251079946,57.43786595479202,68.62792519343549,78.5896393288684,87.04879886363082,74.34556736466752,79.15569817643309,80.81716721119517,83.8065705834705,87.26766802867635,69.30876639341967,75.96712931557641,77.75720442834059,81.44141550644692,85.03553223782207
89,50.589577698654026,57.196310952763426,68.33251282673692,78.28262606570088,86.84329425581812,74.54052083545399,79.28192079752428,80.81922292249953,83.8408524494135,87.40574141169891,69.28309677341474,75.83846969497525,77.53109889990323,81.23390872992894,84.94261635836928
90,50.51952288650858,56.954755950734835,68.03710046003835,77.97561280253336,86.63778964800542,74.73547430624045,79.40814341861547,80.82127863380389,83.8751343153565,87.54381479472146,69.25742715340981,75.70981007437408,77.30499337146587,81.02640195341097,84.8497004789165
91,50.449468074363146,56.71320094870624,67.74168809333977,77.66859953936584,86.43228504019272,74.9304277770269,79.53436603970665,80.82333434510825,83.9094161812995,87.681888177744,69.23175753340487,75.58115045377289,77.07888784302853,80.818895176893,84.75678459946371
92,50.37941326221771,56.47164594667765,67.4462757266412,77.36158627619832,86.22678043238002,75.12538124781338,79.66058866079784,80.8253900564126,83.9436980472425,87.81996156076656,69.20608791339994,75.45249083317172,76.85278231459117,80.61138840037502,84.66386872001094
93,50.29983354619521,56.22463284454814,67.14379086935409,77.04415978875979,86.01626066778613,75.2856602069302,79.7634018085668,80.80961932722684,83.9563714181962,87.93918470390432,69.15377192658248,75.30315727931078,76.61620190676871,80.39015362595163,84.56114967741614
94,50.220253830172716,55.97761974241863,66.84130601206697,76.72673330132126,85.80574090319223,75.44593916604703,79.86621495633575,80.79384859804108,83.9690447891499,88.05840784704206,69.10145593976502,75.15382372544984,76.37962149894624,80.16891885152823,84.45843063482134
95,50.140674114150215,55.73060664028913,66.53882115477984,76.40930681388274,85.59522113859835,75.60621812516385,79.9690281041047,80.77807786885532,83.98171816010361,88.17763099017982,69.04913995294756,75.0044901715889,76.14304109112378,79.94768407710482,84.35571159222654
96,50.06109439812772,55.483593538159624,66.23633629749271,76.0918803264442,85.38470137400445,75.76649708428067,80.07184125187365,80.76230713966956,83.99439153105732,88.29685413331758,68.9968239661301,74.85515661772796,75.9064606833013,79.72644930268143,84.25299254963176
97,49.984049031795365,55.24068699112982,65.92828625490651,75.75930290596692,85.15424591501699,75.86618042375751,80.11600578360579,80.68910142669297,83.94422698322137,88.3496893210959,68.90063063061197,74.65950222564435,75.62504078249759,79.454383131688,84.09898780962618
98,49.90700366546301,54.99778044410002,65.6202362123203,75.42672548548964,84.92379045602952,75.96586376323434,80.16017031533794,80.61589571371638,83.89406243538542,88.4025245088742,68.80443729509383,74.46384783356073,75.34362088169388,79.18231696069456,83.9449830696206
99,49.82995829913065,54.754873897070226,65.31218616973408,75.09414806501236,84.69333499704207,76.06554710271118,80.20433484707009,80.5426900007398,83.84389788754947,88.45535969665251,68.7082439595757,74.26819344147712,75.06220098089017,78.91025078970114,83.79097832961503
100,49.752912932798296,54.51196735004042,65.00413612714786,74.76157064453508,84.46287953805461,76.16523044218802,80.24849937880222,80.46948428776321,83.79373333971353,88.50819488443082,68.61205062405756,74.07253904939351,74.78078108008646,78.6381846187077,83.63697358960945
101,49.71890526986274,54.301288580152274,64.70286814711272,74.40546855302237,84.17005506364526,76.24596781410291,80.26364706683498,80.36000589765938,83.69401268266763,88.48315317308791,68.49989997150836,73.85210579145343,74.46382349601569,78.31935142116588,83.41813038461197
102,49.68489760692719,54.09060981026412,64.40160016707759,74.04936646150966,83.87723058923592,76.32670518601779,80.27879475486772,80.25052750755555,83.59429202562173,88.458111461745,68.38774931895915,73.63167253351334,74.14686591194493,78.00051822362404,83.19928717961447
103,49.650889943991636,53.879931040375965,64.10033218704245,73.69326436999695,83.58440611482658,76.40744255793268,80.29394244290046,80.1410491174517,83.49457136857583,88.4330697504021,68.27559866640995,73.41123927557325,73.82990832787416,77.68168502608222,82.98044397461699
104,49.61688228105608,53.66925227048781,63.79906420700732,73.33716227848424,83.29158164041723,76.48817992984758,80.3090901309332,80.03157072734787,83.39485071152994,88.40802803905919,68.16344801386074,73.19080601763316,73.5129507438034,77.36285182854039,82.76160076961949
105,49.66454006175293,53.53929383623302,63.5516114065641,73.00073141337566,82.97324817380023,76.5699784187262,80.32014911139927,79.91495981404438,83.26553559971569,88.31764813179954,68.07124765823212,72.9871656657705,73.2069320749765,77.03624035160385,82.50630965717046
